sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,a man with a hard hat is dancing,a man wearing a hard hat is dancing,man hard hat dancing,man wearing hard hat dancing,0.96,0.97,0.96
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,a man is feeding a mouse to a snake,the man is feeding a mouse to the snake,man feeding mouse snake,man feeding mouse snake,0.93,0.92,1.0
A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,a man is erasing a chalk board,the man is erasing the chalk board,man erasing chalk board,man erasing chalk board,0.88,0.87,1.0
The man cut down a tree with an axe.,A man chops down a tree with an axe.,5.0,the man cut down a tree with an axe,a man chops down a tree with an axe,man cut tree axe,man chops tree axe,0.95,0.95,0.9
The girl sang into a microphone.,The lady sang into the microphone.,2.4,the girl sang into a microphone,the lady sang into the microphone,girl sang microphone,lady sang microphone,0.91,0.93,0.92
An animal is chewing on something.,An animal is chewing on a key chain.,3.2,an animal is chewing on something,an animal is chewing on a key chain,animal chewing something,animal chewing key chain,0.9,0.89,0.7
An animal is biting a persons finger.,A slow loris is biting a persons finger.,3.0,an animal is biting a persons finger,a slow loris is biting a persons finger,animal biting persons finger,slow loris biting persons finger,0.87,0.88,0.8
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,2.6,the lady cracked an egg into a bowl,the man is cracking eggs into a bowl,lady cracked egg bowl,man cracking eggs bowl,0.91,0.92,0.87
Elephants are walking down a trail.,A herd of elephants are walking along a trail.,4.6,elephants are walking down a trail,a herd of elephants are walking along a trail,elephants walking trail,herd elephants walking along trail,0.87,0.91,0.91
A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,4.8,a man sitting on the floor plays a guitar,a man sitting on the floor in a room is strumming a guitar,man sitting floor plays guitar,man sitting floor room strumming guitar,0.96,0.96,0.91
A puppy plays with a plastic container.,The dog is playing with a plastic container.,3.8,a puppy plays with a plastic container,the dog is playing with a plastic container,puppy plays plastic container,dog playing plastic container,0.91,0.92,0.9
A toddler walks down a hallway.,A little girl is walking down a hallway.,3.6,a toddler walks down a hallway,a little girl is walking down a hallway,toddler walks hallway,little girl walking hallway,0.9,0.91,0.77
A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,4.0,a man is drilling a hole in a board,someone is drilling a hole in a piece of wood,man drilling hole board,someone drilling hole piece wood,0.92,0.92,0.79
A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,4.5,a man is fitting silencer on a pistol,a man is adding a silencer to a gun,man fitting silencer pistol,man adding silencer gun,0.92,0.93,0.83
Two little girls are talking on the phone.,A little girl is walking down the street.,0.5,two little girls are talking on the phone,a little girl is walking down the street,two little girls talking phone,little girl walking street,0.76,0.77,0.68
Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,3.8,someone is stirring chili in a kettle,someone is stirring a pot of chili with a spoon,someone stirring chili kettle,someone stirring pot chili spoon,0.93,0.92,0.9
The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,4.8,the woman is cracking eggs into a bowl,the lady broke raw eggs into a bowl,woman cracking eggs bowl,lady broke raw eggs bowl,0.9,0.92,0.84
A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,5.0,a woman puts flour on a piece of meat,a woman is putting flour onto some meat,woman puts flour piece meat,woman putting flour onto meat,0.9,0.91,0.87
Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,4.5,someone is shredding cabbage leaves with a knife,someone is chopping some cabbage leaves,someone shredding cabbage leaves knife,someone chopping cabbage leaves,0.86,0.89,0.9
A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,3.8,a woman is applying eye liner to her eyelid using an eye pencil,a woman is applying cosmetics to her eyelid,woman applying eye liner eyelid using eye pencil,woman applying cosmetics eyelid,0.85,0.9,0.79
A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,4.25,a rabbit is playing with a toy rabbit,a bunny is playing with a stuffed bunny,rabbit playing toy rabbit,bunny playing stuffed bunny,0.94,0.94,0.82
One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,3.75,one man is breaking cement on another man s chest,a man breaks cinder blocks on another man,one man breaking cement another man chest,man breaks cinder blocks another man,0.82,0.87,0.86
A man is talking with other women on the beach.,A man is walking down the street.,0.0,a man is talking with other women on the beach,a man is walking down the street,man talking women beach,man walking street,0.84,0.84,0.71
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,2.8,the man talked to a girl over the internet camera,a teenager talks to a girl over a webcam,man talked girl internet camera,teenager talks girl webcam,0.85,0.84,0.77
A turtle walks over the ground.,A large turtle crawls in the grass.,3.75,a turtle walks over the ground,a large turtle crawls in the grass,turtle walks ground,large turtle crawls grass,0.84,0.84,0.71
Five kittens are eating out of five dishes.,Kittens are eating food on trays.,2.75,five kittens are eating out of five dishes,kittens are eating food on trays,five kittens eating five dishes,kittens eating food trays,0.74,0.76,0.7
A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,3.4,a baby rhino is walking around his pen with his mother,a baby rhino is following an adult rhino,baby rhino walking around pen mother,baby rhino following adult rhino,0.75,0.77,0.71
The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,5.0,the man used a sword to slice a plastic bottle,a man sliced a plastic bottle with a sword,man used sword slice plastic bottle,man sliced plastic bottle sword,0.91,0.93,0.93
A person is chopping coriander leaves.,A woman is slicing up some green leaves.,2.25,a person is chopping coriander leaves,a woman is slicing up some green leaves,person chopping coriander leaves,woman slicing green leaves,0.82,0.85,0.74
A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,3.8,a woman pours oil into a skillet from a plastic bottle while she is talking,an older woman is pouring oil into a skillet on the stove,woman pours oil skillet plastic bottle talking,older woman pouring oil skillet stove,0.89,0.9,0.82
The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,1.6,the lady put the skewered shimp in the hot water,the lady fried the breaded meat in hot oil,lady put skewered shimp hot water,lady fried breaded meat hot oil,0.87,0.88,0.77
The cook is kneading the flour.,A woman is kneading tortilla dough.,2.6,the cook is kneading the flour,a woman is kneading tortilla dough,cook kneading flour,woman kneading tortilla dough,0.77,0.79,0.78
A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.,0.0,a woman is putting her baby in a waste bin,the woman is poking holes in the potato,woman putting baby waste bin,woman poking holes potato,0.77,0.77,0.55
A man and woman are eating at a table.,A couple are eating a meal and talking.,3.0,a man and woman are eating at a table,a couple are eating a meal and talking,man woman eating table,couple eating meal talking,0.88,0.88,0.64
A man is screwing wood to a wall.,A man is giving a woman a massage.,0.2,a man is screwing wood to a wall,a man is giving a woman a massage,man screwing wood wall,man giving woman massage,0.85,0.86,0.58
A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar.",2.0,a small baby is playing a guitar,a boy sits on a bed sings and plays a guitar,small baby playing guitar,boy sits bed sings plays guitar,0.86,0.87,0.7
A child is playing a computer game.,A boy is playing a game on a laptop.,3.09,a child is playing a computer game,a boy is playing a game on a laptop,child playing computer game,boy playing game laptop,0.94,0.94,0.88
A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,4.0,a woman puts cosmetics on her eyelid,the woman is pencilling on eye shadow,woman puts cosmetics eyelid,woman pencilling eye shadow,0.71,0.78,0.64
A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,3.4,a woman and man are riding in a car,a woman driving a car is talking to the man seated beside her,woman man riding car,woman driving car talking man seated beside,0.9,0.91,0.85
The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,1.0,the lady stirred up raw eggs in the bowl,a woman is pouring eyes into a bowl,lady stirred raw eggs bowl,woman pouring eyes bowl,0.73,0.75,0.66
A man is buttering a piece of bread.,A slow loris hanging on a cord.,0.0,a man is buttering a piece of bread,a slow loris hanging on a cord,man buttering piece bread,slow loris hanging cord,0.68,0.68,0.3
A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.,1.0,a woman cuts up some vegetables,a woman is placing skewered food onto a cooker,woman cuts vegetables,woman placing skewered food onto cooker,0.74,0.75,0.59
A man plays an acoustic guitar.,A woman and dog are walking together.,0.0,a man plays an acoustic guitar,a woman and dog are walking together,man plays acoustic guitar,woman dog walking together,0.57,0.57,0.41
The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,4.4,the puppy tried to get out of the tub,a puppy is trying to get out of a bathtub,puppy tried get tub,puppy trying get bathtub,0.88,0.88,0.9
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,2.75,a lion cub tries to climb a fence,a lion tries to climb over a wall,lion cub tries climb fence,lion tries climb wall,0.93,0.93,0.87
A man is talking on a cell phone.,A guy is talking into a microphone.,2.0,a man is talking on a cell phone,a guy is talking into a microphone,man talking cell phone,guy talking microphone,0.89,0.89,0.72
Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,3.75,someone is pouring chicken broth into a pot,the man is pouring broth into the pot,someone pouring chicken broth pot,man pouring broth pot,0.88,0.89,0.9
The man is shaking hands with other men.,A man is shaking another mans hand.,4.33,the man is shaking hands with other men,a man is shaking another mans hand,man shaking hands men,man shaking another mans hand,0.83,0.83,0.83
A target is being hit with gun fire.,The target was being shot with bullets.,4.21,a target is being hit with gun fire,the target was being shot with bullets,target hit gun fire,target shot bullets,0.87,0.86,0.77
A woman is slicing a big pepper.,A person is cutting a green pepper.,3.4,a woman is slicing a big pepper,a person is cutting a green pepper,woman slicing big pepper,person cutting green pepper,0.9,0.91,0.73
A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,4.2,a man puts some cheese on a pizza,a man is sprinkling shredded cheese on a pizza,man puts cheese pizza,man sprinkling shredded cheese pizza,0.92,0.93,0.82
A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,4.2,a person is picking a komodo dragon and putting it in a box,a person is placing a baby komodo dragon into a container,person picking komodo dragon putting box,person placing baby komodo dragon container,0.92,0.92,0.83
A person drops a camera down an escelator.,A man tosses a bag down an escalator.,2.75,a person drops a camera down an escelator,a man tosses a bag down an escalator,person drops camera escelator,man tosses bag escalator,0.88,0.86,0.52
A tiger is walking around his cage.,A tiger walks around aimlessly.,3.0,a tiger is walking around his cage,a tiger walks around aimlessly,tiger walking around cage,tiger walks around aimlessly,0.8,0.85,0.84
A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,3.8,a person pours cooking oil into a pot,a person is pouring olive oil into a pot on the stove,person pours cooking oil pot,person pouring olive oil pot stove,0.91,0.92,0.91
A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,3.8,a child runs into and out of the ocean waves,a young boy is running toward and from the ocean waves,child runs ocean waves,young boy running toward ocean waves,0.89,0.9,0.81
A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,3.2,a dog is stealing food from a refrigerator,the dog took something out of the refrigerator,dog stealing food refrigerator,dog took something refrigerator,0.74,0.75,0.73
A man is putting a knife in a vice.,A man is getting into a car in a garage.,0.8,a man is putting a knife in a vice,a man is getting into a car in a garage,man putting knife vice,man getting car garage,0.91,0.91,0.6
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,3.0,a puppy is trying to come out from the sink,the puppy tried to get out of the tub,puppy trying come sink,puppy tried get tub,0.89,0.89,0.78
A person is folding a square paper piece.,A person folds a piece of paper.,3.75,a person is folding a square paper piece,a person folds a piece of paper,person folding square paper piece,person folds piece paper,0.91,0.93,0.91
A monkey is karate kicking a person.,A monkey pratices martial arts.,2.5,a monkey is karate kicking a person,a monkey pratices martial arts,monkey karate kicking person,monkey pratices martial arts,0.66,0.66,0.61
A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,2.75,a man is stirring ingredients in a bowl,a man is beating two eggs in a bowl with a fork,man stirring ingredients bowl,man beating two eggs bowl fork,0.89,0.9,0.72
A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,0.4,a woman is relaxing in a bath tub,a woman is stabbing a potato with a fork,woman relaxing bath tub,woman stabbing potato fork,0.81,0.81,0.43
A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,3.2,a man is playing a guitar and singing on a stage,a man is playing the electric guitar,man playing guitar singing stage,man playing electric guitar,0.9,0.91,0.85
A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.,1.4,a woman is collecting tap water in a mug,a boy is filling a pitcher with water,woman collecting tap water mug,boy filling pitcher water,0.86,0.88,0.71
A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,3.8,a person is whisking eggs in a bowl,a woman is beating two eggs in a bowl using a wire whisk,person whisking eggs bowl,woman beating two eggs bowl using wire whisk,0.89,0.92,0.78
The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,2.75,the dog could not figure out how to get a stick out the doggy door,a dog is trying to get through his dog door,dog could figure get stick doggy door,dog trying get dog door,0.88,0.89,0.88
A tiger club is playing with a ball.,A person is chopping shrimp with a knife.,0.0,a tiger club is playing with a ball,a person is chopping shrimp with a knife,tiger club playing ball,person chopping shrimp knife,0.8,0.81,0.39
A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,2.69,a dog knocks a boy into the water twice,a dog pushes a toddler into a rain puddle,dog knocks boy water twice,dog pushes toddler rain puddle,0.89,0.89,0.74
A man plays the guitar and sings.,A man is singing and playing a guitar.,5.0,a man plays the guitar and sings,a man is singing and playing a guitar,man plays guitar sings,man singing playing guitar,0.9,0.91,0.86
Women are holding each other and dancing together.,Two men are playing table tennis.,0.0,women are holding each other and dancing together,two men are playing table tennis,women holding dancing together,two men playing table tennis,0.72,0.76,0.65
The man is trying to feed the snake with a mouse.,A man is working on his laptop.,0.8,the man is trying to feed the snake with a mouse,a man is working on his laptop,man trying feed snake mouse,man working laptop,0.81,0.81,0.56
A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.,0.0,a cat is playing with a watermelon on a floor,a man is pouring oil into a pan,cat playing watermelon floor,man pouring oil pan,0.79,0.81,0.42
A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,0.6,a cat retrieves an object out of a dish of water,the cat tried to eat the corn on the cob,cat retrieves object dish water,cat tried eat corn cob,0.71,0.71,0.52
A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.,0.0,a woman is adding some mushrooms and liquid to a pot,a young man is playing the guitar,woman adding mushrooms liquid pot,young man playing guitar,0.75,0.77,0.44
Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,3.4,someone drew on washington s face on the dollar,a person draws on a dollar bill,someone drew washington face dollar,person draws dollar bill,0.73,0.78,0.71
A cat standing on tree branches.,A black and white cat is high up on tree branches.,3.6,a cat standing on tree branches,a black and white cat is high up on tree branches,cat standing tree branches,black white cat high tree branches,0.82,0.84,0.76
The lamb is looking at the camera.,A small bird standing on a log at the waters edge.,0.0,the lamb is looking at the camera,a small bird standing on a log at the waters edge,lamb looking camera,small bird standing log waters edge,0.78,0.82,0.49
The black and white cows pause in front of the gate.,A black cow and a brown cow stands in a plain in front of an uprooted tree.,2.2,the black and white cows pause in front of the gate,a black cow and a brown cow stands in a plain in front of an uprooted tree,black white cows pause front gate,black cow brown cow stands plain front uprooted tree,0.84,0.83,0.76
A group of four people in a dinner having cake.,Four people eating dessert around a table.,3.8,a group of four people in a dinner having cake,four people eating dessert around a table,group four people dinner cake,four people eating dessert around table,0.81,0.84,0.81
A group of people eat at a table outside.,A group of elderly people pose around a dining table.,2.6,a group of people eat at a table outside,a group of elderly people pose around a dining table,group people eat table outside,group elderly people pose around dining table,0.9,0.91,0.85
Older man wearing beret with mountains in background.,A sheep in the morning mist with trees in the background.,0.4,older man wearing beret with mountains in background,a sheep in the morning mist with trees in the background,older man wearing beret mountains background,sheep morning mist trees background,0.75,0.76,0.61
A small red and gray bird perched amongst the bare branches of a tree.,A red and brown bird is perched on branches.,2.25,a small red and gray bird perched amongst the bare branches of a tree,a red and brown bird is perched on branches,small red gray bird perched amongst bare branches tree,red brown bird perched branches,0.89,0.91,0.89
A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,3.2,a black and wood colored dining room set in a small apartment,black and brown table in living room setting,black wood colored dining room set small apartment,black brown table living room setting,0.84,0.87,0.86
A bag of cotton in front of a couch.,Calico cat sitting on step in front of a door.,0.0,a bag of cotton in front of a couch,calico cat sitting on step in front of a door,bag cotton front couch,calico cat sitting step front door,0.83,0.85,0.68
